length,fidelity
10,0.8199999999999998
20,0.8099999999999998
30,0.7799999999999998
40,0.8199999999999998
50,0.7999999999999998
60,0.7899999999999998
70,0.7699999999999999
80,0.7199999999999999
90,0.7699999999999999
100,0.7799999999999998
110,0.8099999999999998
120,0.7699999999999999
130,0.7599999999999999
140,0.7899999999999998
150,0.7899999999999998
160,0.8299999999999998
170,0.7799999999999998
180,0.8399999999999999
190,0.7599999999999999
200,0.7899999999999998
210,0.8099999999999998
220,0.7599999999999999
230,0.7799999999999998
240,0.7699999999999999
250,0.7299999999999999
260,0.7699999999999999
270,0.8399999999999999
280,0.8299999999999998
290,0.7599999999999999
300,0.7799999999999998
310,0.7499999999999999
320,0.7599999999999999
330,0.7099999999999999
340,0.7799999999999998
350,0.7299999999999999
360,0.8299999999999998
370,0.8399999999999999
380,0.7899999999999998
390,0.7599999999999999
400,0.7399999999999999
410,0.8699999999999999
420,0.7799999999999998
430,0.8399999999999999
440,0.7499999999999999
450,0.8099999999999998
460,0.8199999999999998
470,0.8299999999999998
480,0.8399999999999999
490,0.8199999999999998
500,0.7999999999999998
510,0.6999999999999998
520,0.7399999999999999
530,0.7999999999999998
540,0.8099999999999998
550,0.7599999999999999
560,0.7799999999999998
570,0.7899999999999998
580,0.7199999999999999
590,0.7499999999999999
600,0.7799999999999998
610,0.7299999999999999
620,0.7999999999999998
630,0.8199999999999998
640,0.6899999999999998
650,0.7199999999999999
660,0.7299999999999999
670,0.7699999999999999
680,0.6799999999999998
690,0.7699999999999999
700,0.7099999999999999
710,0.7899999999999998
720,0.7299999999999999
730,0.7299999999999999
740,0.8599999999999999
750,0.7699999999999999
760,0.7599999999999999
770,0.7299999999999999
780,0.8099999999999998
790,0.7599999999999999
800,0.7799999999999998
810,0.7599999999999999
820,0.7899999999999998
830,0.7799999999999998
840,0.7799999999999998
850,0.6999999999999998
860,0.7899999999999998
870,0.6899999999999998
880,0.8399999999999999
890,0.7199999999999999
900,0.6899999999999998
910,0.7099999999999999
920,0.7199999999999999
930,0.7999999999999998
940,0.7899999999999998
950,0.7199999999999999
960,0.8199999999999998
970,0.7599999999999999
980,0.6999999999999998
990,0.6699999999999998
